srcStateName,srcYear,Meat production,Milk production,Egg production,Fish production,Wool production,YearCode,Year
Andhra Pradesh,2016-17,633,12178,158274,27.66,792,2016,"Calendar Year (Jan - Dec), 2016"
Arunachal Pradesh,2016-17,20,53,495,0.04,58,2016,"Calendar Year (Jan - Dec), 2016"
Assam,2016-17,47,861,4771,3.07,,2016,"Calendar Year (Jan - Dec), 2016"
Bihar,2016-17,326,8711,11117,5.09,281,2016,"Calendar Year (Jan - Dec), 2016"
Chandigarh,2016-17,1,36,154,0,,2016,"Calendar Year (Jan - Dec), 2016"
Chhattisgarh,2016-17,49,1374,16638,3.77,87,2016,"Calendar Year (Jan - Dec), 2016"
Dadra & Nagar Haveli,2016-17,,8,73,0,,2016,"Calendar Year (Jan - Dec), 2016"
Daman & Diu,2016-17,1,1,4,0.24,,2016,"Calendar Year (Jan - Dec), 2016"
Delhi,2016-17,66,279,0,0.01,,2016,"Calendar Year (Jan - Dec), 2016"
Goa,2016-17,7,51,292,1.18,,2016,"Calendar Year (Jan - Dec), 2016"
Gujarat,2016-17,33,12784,17940,8.16,2267,2016,"Calendar Year (Jan - Dec), 2016"
Haryana,2016-17,427,8975,52139,1.44,691,2016,"Calendar Year (Jan - Dec), 2016"
Himachal Pradesh,2016-17,4,1329,959,0.13,1475,2016,"Calendar Year (Jan - Dec), 2016"
Jammu and Kashmir,2016-17,85,2376,2305,0.2,7266,2016,"Calendar Year (Jan - Dec), 2016"
Jharkhand,2016-17,55,1894,5103,1.45,178,2016,"Calendar Year (Jan - Dec), 2016"
Karnataka,2016-17,209,6562,50671,5.57,6588,2016,"Calendar Year (Jan - Dec), 2016"
Kerala,2016-17,469,2520,23444,5.93,,2016,"Calendar Year (Jan - Dec), 2016"
Lakshadweep,2016-17,0,3,147,0.3,,2016,"Calendar Year (Jan - Dec), 2016"
Madhya Pradesh,2016-17,79,13445,16940,1.39,406,2016,"Calendar Year (Jan - Dec), 2016"
Maharashtra,2016-17,845,10402,54774,6.63,1407,2016,"Calendar Year (Jan - Dec), 2016"
Manipur,2016-17,27,79,992,0.32,,2016,"Calendar Year (Jan - Dec), 2016"
Meghalaya,2016-17,41,84,1064,0.12,,2016,"Calendar Year (Jan - Dec), 2016"
Mizoram,2016-17,15,24,408,0.08,,2016,"Calendar Year (Jan - Dec), 2016"
Nagaland,2016-17,31,79,397,0.09,,2016,"Calendar Year (Jan - Dec), 2016"
Odisha,2016-17,177,2003,19745,6.08,,2016,"Calendar Year (Jan - Dec), 2016"
Puducherry,2016-17,15,48,114,0.5,,2016,"Calendar Year (Jan - Dec), 2016"
Punjab,2016-17,249,11282,47826,1.33,490,2016,"Calendar Year (Jan - Dec), 2016"
Rajasthan,2016-17,180,20850,13633,0.5,14321,2016,"Calendar Year (Jan - Dec), 2016"
Sikkim,2016-17,4,54,68,0,0,2016,"Calendar Year (Jan - Dec), 2016"
Tamil Nadu,2016-17,573,7556,166824,6.69,2,2016,"Calendar Year (Jan - Dec), 2016"
Telangana,2016-17,591,4681,118186,1.99,4658,2016,"Calendar Year (Jan - Dec), 2016"
Tripura,2016-17,40,160,2294,0.72,,2016,"Calendar Year (Jan - Dec), 2016"
Uttar Pradesh,2016-17,1346,27770,22889,0.04,1286,2016,"Calendar Year (Jan - Dec), 2016"
Uttarakhand,2016-17,28,1692,4119,6.18,538,2016,"Calendar Year (Jan - Dec), 2016"
West Bengal,2016-17,706,5183,65536,17.02,753,2016,"Calendar Year (Jan - Dec), 2016"
Andaman and Nicobar Islands,2017-18,5,17,1074,0.4,,2017,"Calendar Year (Jan - Dec), 2017"
Andhra Pradesh,2017-18,709,13725,177776,34.5,794,2017,"Calendar Year (Jan - Dec), 2017"
Arunachal Pradesh,2017-18,21,54,550,0.04,60,2017,"Calendar Year (Jan - Dec), 2017"
Assam,2017-18,48,872,4952,3.27,,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,2017-18,343,9242,12185,5.88,298,2017,"Calendar Year (Jan - Dec), 2017"
Chandigarh,2017-18,1,42,160,0,0,2017,"Calendar Year (Jan - Dec), 2017"
Chhattisgarh,2017-18,55,1469,17718,4.57,82,2017,"Calendar Year (Jan - Dec), 2017"
Dadra & Nagar Haveli,2017-18,,8,73,0,,2017,"Calendar Year (Jan - Dec), 2017"
Daman & Diu,2017-18,,1,5,0.25,,2017,"Calendar Year (Jan - Dec), 2017"
Delhi,2017-18,66,279,0,0.01,,2017,"Calendar Year (Jan - Dec), 2017"
Goa,2017-18,8,55,299,1.24,,2017,"Calendar Year (Jan - Dec), 2017"
Gujarat,2017-18,33,13569,17868,8.35,2295,2017,"Calendar Year (Jan - Dec), 2017"
Haryana,2017-18,470,9809,55855,1.9,693,2017,"Calendar Year (Jan - Dec), 2017"
