srcStateName,srcYear,TRU,Gender,Unemployment Rate per 1000 population,YearCode,Year
Mizoram,2011-12,Rural,Overall,18,2011,"Calendar Year (Jan - Dec), 2011"
Meghalaya,2011-12,Rural,Overall,4,2011,"Calendar Year (Jan - Dec), 2011"
Manipur,2011-12,Rural,Overall,26,2011,"Calendar Year (Jan - Dec), 2011"
Maharashtra,2011-12,Rural,Overall,7,2011,"Calendar Year (Jan - Dec), 2011"
Madhya Pradesh,2011-12,Rural,Overall,4,2011,"Calendar Year (Jan - Dec), 2011"
Kerala,2011-12,Rural,Overall,68,2011,"Calendar Year (Jan - Dec), 2011"
Karnataka,2011-12,Rural,Overall,9,2011,"Calendar Year (Jan - Dec), 2011"
Jharkhand,2011-12,Rural,Overall,21,2011,"Calendar Year (Jan - Dec), 2011"
Jammu & Kashmir,2011-12,Rural,Overall,25,2011,"Calendar Year (Jan - Dec), 2011"
Himachal Pradesh,2011-12,Rural,Overall,10,2011,"Calendar Year (Jan - Dec), 2011"
Haryana,2011-12,Rural,Overall,24,2011,"Calendar Year (Jan - Dec), 2011"
Gujarat,2011-12,Rural,Overall,3,2011,"Calendar Year (Jan - Dec), 2011"
Goa,2011-12,Rural,Overall,51,2011,"Calendar Year (Jan - Dec), 2011"
Delhi,2011-12,Rural,Overall,78,2011,"Calendar Year (Jan - Dec), 2011"
Chhattisgarh,2011-12,Rural,Overall,8,2011,"Calendar Year (Jan - Dec), 2011"
Bihar,2011-12,Rural,Overall,32,2011,"Calendar Year (Jan - Dec), 2011"
Assam,2011-12,Rural,Overall,45,2011,"Calendar Year (Jan - Dec), 2011"
Arunachal Pradesh,2011-12,Rural,Overall,17,2011,"Calendar Year (Jan - Dec), 2011"
Arunachal Pradesh,2017-18,Rural,Female,107,2017,"Calendar Year (Jan - Dec), 2017"
Andhra Pradesh,2017-18,Rural,Female,23,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,2017-18,Rural,Overall,70,2017,"Calendar Year (Jan - Dec), 2017"
Assam,2017-18,Rural,Overall,83,2017,"Calendar Year (Jan - Dec), 2017"
Assam,2017-18,Urban,Overall,63,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,2017-18,Urban,Overall,90,2017,"Calendar Year (Jan - Dec), 2017"
Chhattisgarh,2017-18,Urban,Overall,75,2017,"Calendar Year (Jan - Dec), 2017"
Delhi,2017-18,Urban,Overall,98,2017,"Calendar Year (Jan - Dec), 2017"
Goa,2017-18,Urban,Overall,138,2017,"Calendar Year (Jan - Dec), 2017"
Gujarat,2017-18,Urban,Overall,43,2017,"Calendar Year (Jan - Dec), 2017"
Haryana,2017-18,Urban,Overall,73,2017,"Calendar Year (Jan - Dec), 2017"
Himachal Pradesh,2017-18,Urban,Overall,87,2017,"Calendar Year (Jan - Dec), 2017"
Jammu & Kashmir,2017-18,Urban,Overall,100,2017,"Calendar Year (Jan - Dec), 2017"
Jharkhand,2017-18,Urban,Overall,105,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,2017-18,Urban,Overall,65,2017,"Calendar Year (Jan - Dec), 2017"
Kerala,2017-18,Urban,Overall,132,2017,"Calendar Year (Jan - Dec), 2017"
