ROWID,Country,State lgd code,State,YearCode,Year,Base year,Gross State Value Added by Agriculture sector at current prices,Gross State Domestic Product at current prices,Net State Value Added by Industry sector at current prices,Gross State Value Added by Services sector at constant prices,Net State Value Added by Construction sector at current prices,Net State Domestic Product at current prices,Net State Value Added by Services sector at current prices,Gross State Value Added by Manufacturing sector at current prices,Gross State Value Added by Industry sector at current prices,Net State Value Added by Agriculture sector at current prices,Gross State Value Added by Banking and Insurance sector at current prices,Net State Value Added by Manufacturing sector at current prices,Net State Value Added by Construction sector at constant prices,Gross State Value Added by Services sector at current prices,Gross State Value Added by Construction sector at constant prices,Per capita Net State Domestic Product at current prices,Net State Domestic Product at constant prices,Gross State Value Added by Agriculture sector at constant prices,Gross State Value Added by Manufacturing sector at constant prices,Gross State Value Added by Industry sector at constant prices,Net State Value Added by Services sector at constant prices,Net State Value Added by Banking and Insurance sector at constant prices,Per capita Net State Domestic Product at constant prices,Net State Value Added by Manufacturing sector at constant prices,Net State Value Added by Industry sector at constant prices,Gross State Domestic Product at constant prices,Gross State Value Added by Banking and Insurance sector at constant prices,Gross State Value Added by Construction sector at current prices,Net State Value Added by Agriculture sector at constant prices,Net State Value Added by Banking and Insurance sector at current prices
84,India,9,Uttar Pradesh,2014,"Financial Year (Apr - Mar), 2014",2011-12,15633361,101178966,21157568,38741980,10623404,89179803,39372328,10512538,24761480,13648776,3520922,8421491,8618317,45614831,9232528,42267,72968630,12055193,9341794,20666043,33275880,3308676,34583,7465709,17420143,83443238,3366247,11285665,10434577,3455974
85,India,9,Uttar Pradesh,2015,"Financial Year (Apr - Mar), 2015",2011-12,17638489,113780794,24358916,41693882,10862761,100938551,43636510,13134491,28049643,15479073,3937660,11031061,9096263,50464892,9716501,47118,79204874,12645300,11805778,23984444,35716307,3583432,36973,9434858,20177813,90824131,3653412,11527519,10955996,3857066
86,India,9,Uttar Pradesh,2016,"Financial Year (Apr - Mar), 2016",2011-12,19152008,128870016,30646113,44069602,11750872,114562010,47621294,18103770,34646769,16798536,3888479,15980178,9624319,55404874,10356801,52671,88845325,13474757,17352921,30465882,37309786,3531227,40847,15447730,26847448,101150052,3607454,12518605,11697922,3801352
87,India,9,Uttar Pradesh,2017,"Financial Year (Apr - Mar), 2017",2011-12,20588187,141600601,32558637,47652688,12885891,125569952,53594904,17731090,37090671,18061980,4490456,15382681,9922924,62390476,10727560,56861,92380571,13984951,15452199,30507877,40268152,3797730,41832,13399274,26510400,105774712,3880369,13733383,12120902,4393506
88,India,9,Uttar Pradesh,2018,"Financial Year (Apr - Mar), 2018",2011-12,21637085,158476388,35947783,51294621,14953476,140476118,60456319,19248497,40835440,18903156,4968248,16687149,10835083,70635304,11737202,62652,97915937,14564157,16248059,32243723,43105640,3892365,43670,14089819,28069188,112398196,3983630,15932532,12604446,4856856
89,India,9,Uttar Pradesh,2019,"Financial Year (Apr - Mar), 2019",2011-12,23317379,168781799,36172033,55254127,15506744,149575799,65756784,18734540,41073237,20371139,5181883,16241583,11177918,76898480,12108581,65704,101573466,14770417,15672297,32118600,46456442,3989674,44618,13590536,27960635,116681747,4083221,16522025,12782952,5065701
90,India,9,Uttar Pradesh,2020,"Financial Year (Apr - Mar), 2020",2011-12,25485896,170559337,33908085,50559485,14097721,151234809,64243810,18044419,38590052,22265655,5534769,15643295,9771226,75430583,10584769,65431,94819879,15527814,14801392,29492904,42291089,4005633,41023,12835314,25582993,109262381,4099554,15020748,13438436,5410675
91,India,10,Bihar,2011,"Financial Year (Apr - Mar), 2011",2011-12,4260778,24714396,4104960,13409195,2576408,22849744,12415073,1466570,4554000,3905314,883932,1268069,2576408,13409195,2701685,21750,22849744,4260778,1466570,4554000,12415073,869974,21750,1268069,4104960,24714396,883932,2701685,3905314,869974
92,India,10,Bihar,2012,"Financial Year (Apr - Mar), 2012",2011-12,5336544,28236793,3791677,14401467,2637178,26132682,14593956,1035092,4281731,4924826,977417,844985,2423545,15718193,2560762,24487,23693255,4749271,971402,3955530,13333941,941217,22201,789607,3486082,25685096,958003,2781005,4367513,960103
93,India,10,Bihar,2013,"Financial Year (Apr - Mar), 2013",2011-12,4522339,31710134,5282780,14947842,2990937,29214273,16102455,2120942,5842437,4032047,1122273,1907324,2543684,17454166,2726067,26948,24691474,3710714,1889284,5166760,13699956,1009476,22776,1691289,4644087,26964984,1027313,3184760,3290765,1103526
