srcStateName,srcYear,Birth rate,Death rate,YearCode,Year
Kerala,2018,13.9,6.9,2018,"Calendar Year (Jan - Dec), 2018"
Lakshadweep,2018,15.3,5.6,2018,"Calendar Year (Jan - Dec), 2018"
Madhya Pradesh,2018,24.6,6.7,2018,"Calendar Year (Jan - Dec), 2018"
West Bengal,2018,15,5.6,2018,"Calendar Year (Jan - Dec), 2018"
Maharashtra,2018,15.6,5.5,2018,"Calendar Year (Jan - Dec), 2018"
Manipur,2018,14.3,4.5,2018,"Calendar Year (Jan - Dec), 2018"
Meghalaya,2018,22.1,5.8,2018,"Calendar Year (Jan - Dec), 2018"
Mizoram,2018,14.8,4.1,2018,"Calendar Year (Jan - Dec), 2018"
Nagaland,2018,12.9,3.5,2018,"Calendar Year (Jan - Dec), 2018"
Odisha,2018,18.2,7.3,2018,"Calendar Year (Jan - Dec), 2018"
Puducherry,2018,13.7,6.9,2018,"Calendar Year (Jan - Dec), 2018"
Punjab,2018,14.8,6.6,2018,"Calendar Year (Jan - Dec), 2018"
Rajasthan,2018,24,5.9,2018,"Calendar Year (Jan - Dec), 2018"
Sikkim,2018,16.3,4.5,2018,"Calendar Year (Jan - Dec), 2018"
Tamil Nadu,2018,14.7,6.5,2018,"Calendar Year (Jan - Dec), 2018"
Telangana,2018,16.9,6.3,2018,"Calendar Year (Jan - Dec), 2018"
Tripura,2018,13,5.5,2018,"Calendar Year (Jan - Dec), 2018"
