ROWID,Country,State lgd code,State,YearCode,Year,Number of factories,Fixed capital,Working capital,Physical working capital,Productive capital,Invested capital,Number of workers,Persons engaged in factories ,Total emoluments,Total inputs,Value of gross output,Net value added,Gross value added,Net fixed capital formation,Gross fixed capital formation,Gross capital formation
886,India,36,Telangana,2008,"Financial Year (Apr - Mar), 2008",6995.29045024024785201782,3079017.04879878320340269088,936888.02773897430617712960,1457056.96481282029366103530,4015905.07653775750957982048,4536074.01361160349706372618,376531.45120754802240464232,452566.28131231284384816276,368079.41211003535708595570,7103764.01023681775820278946,8790265.92242885165260760774,1467957.33487546466969927096,1686501.91219203389440481828,545145.14094076009729382864,763689.71825732932199937596,939420.78390980021381804240
887,India,36,Telangana,2009,"Financial Year (Apr - Mar), 2009",7098.75271212039113800282,5391646.91124849798905380488,1173063.81602706250853395274,1815504.45419086183139493144,6564710.72727556049758775762,7207151.36543935982044873632,389665.77842870845227386610,468124.93625384879119458706,445214.66683215738251921260,7643585.39703027320257297394,9703176.77790162651254428556,1622696.73529054952993786878,1654931.85145097449269249932,658526.53679187648039278256,1095421.18237268026042622540,1225765.83683261741612213598
888,India,36,Telangana,2010,"Financial Year (Apr - Mar), 2010",10878.43606312578566160684,6626087.02411714661827292326,1678037.04377404809131866952,2732873.29160352830523813094,8304124.06789119470959159278,9358960.31572067492351105420,430598.76002087330079468362,538372.91512713343836639448,580175.80741718653163577388,11383765.20105363893729534518,14218205.32589966630351923092,2391178.82551816708894406994,2834440.12484602736622388574,521385.65327355647252708930,964646.95260141674980690510,1586489.49597202210614770212
889,India,36,Telangana,2011,"Financial Year (Apr - Mar), 2011",11466.92940870004067228952,10509242.56937982492161739782,2174466.35793497144154674500,2979843.91844714313748148504,12683708.92731479636316414282,13489086.07397792053852573892,459730.83602298900611605204,563988.51577246683368370472,685582.33212258147025100400,12893981.07602047685129547348,16178756.42196363365154854144,2774971.67211351108773228350,3284774.93209410927967992402,455846.03501391338601388726,965649.70884355909853467172,1450917.51419285259107068540
890,India,36,Telangana,2012,"Financial Year (Apr - Mar), 2012",13656,5847297,-3154614,3245659,2692683,9092956,585728,701110,1009147,12289259,15614886,2810175,3325627,265219,780671,1064706
891,India,36,Telangana,2013,"Financial Year (Apr - Mar), 2013",14110,5694436,3831375,3377014,9525811,9071450,629361,747062,1021006,13631996,17133649,3012612,3501653,175137,664178,939090
892,India,36,Telangana,2014,"Financial Year (Apr - Mar), 2014",14427,5739296,2797879,3020495,8537175,8759792,585456,692301,1079558,12581544,15975404,2883168,3393860,158994,669686,863619
893,India,36,Telangana,2015,"Financial Year (Apr - Mar), 2015",14874,7694317,2585567,3247806,10279884,10942123,577386,689537,1196111,14310321,18852094,3909569,4541773,1485249,2117453,2270844
894,India,36,Telangana,2016,"Financial Year (Apr - Mar), 2016",15028,6931972,3535477,3842310,10467449,10774282,605994,724612,1349789,16161720,20381796,3551504,4220076,324470,993043,1422696
895,India,36,Telangana,2017,"Financial Year (Apr - Mar), 2017",15263,8101026,4580255,4022345,12681281,12123370,669220,794520,1579695,17523505,22240202,3948741,4716697,537289,1305245,1726507
896,India,36,Telangana,2018,"Financial Year (Apr - Mar), 2018",15167,9956161,5226433,4608648,15182594,14564809,659251,780204,1738621,21108722,26867828,4868162,5759106,475264,1366208,1962330
897,India,37,Ladakh,1991,"Financial Year (Apr - Mar), 1991",5.24955358823195421600,176.53811254425042698890,103.96303418694365995270,188.78707091679165349290,280.50114673119408694160,365.32518346104208048180,240.91076341994476556260,311.69224430127228157500,52.71426728182920691900,1128.52278263016435758460,1310.06984422318610755460,154.48998747367621928170,181.54706159302174997000,13.21137653038375144360,40.26845064972928213190,53.93916311908332956940
898,India,37,Ladakh,1992,"Financial Year (Apr - Mar), 1992",5.79638208700611611350,198.32375993541303698530,118.68365737394409823340,207.42298615501509095970,317.00741730935713521870,405.74674609042812794500,250.88491523758547857300,323.85371011400964217540,65.07259135412526580250,1194.84214296149471251340,1425.36316490473040202350,199.24243181335362897310,230.52102194323568951010,16.84231776224418644300,48.12090789212624698000,74.60928037274664929490
899,India,37,Ladakh,1993,"Financial Year (Apr - Mar), 1993",5.79638208700611611350,194.88967696311130026900,129.44524222981960437620,250.25059417900745077190,324.33491919293090464520,445.14027114211875104090,255.50014776723940498790,331.74991363630853997530,71.30643624015071143400,1228.76738302544371663430,1680.18524533348984625850,421.12356347595756050270,451.41786230804612962420,8.61801714068079150460,38.91231597276936062610,77.08094518720586107160
900,India,37,Ladakh,1994,"Financial Year (Apr - Mar), 1994",6.21197174607447915560,257.20625268341479010810,185.74670446360731334280,303.88353333877724967870,442.95295714702210345090,561.08978602219203978680,333.14979459317039443290,432.08200659139176492860,111.48739433007612766230,1334.78649236777822532160,1587.50875136124488787020,219.10324288883118909030,252.70038585351569607270,33.55339668478257403060,67.15053964946708101300,69.29410736466179565120
901,India,37,Ladakh,1995,"Financial Year (Apr - Mar), 1995",7.43686758332860180600,364.62524298261115325300,253.33470691209372387380,469.50694904749540519350,617.95994989470487712680,834.13219203010655844650,405.04680561199720071620,526.83644885897853852740,163.41422857367054144890,1905.69731822795421278750,2286.53055791423152468240,336.05892220664893572760,380.83323968627731189490,39.74349529090608671030,84.51781277053446287760,109.82503569380267549390
902,India,37,Ladakh,1996,"Financial Year (Apr - Mar), 1996",8.66176342058272445640,404.25937257376240758380,182.85944999007973852400,398.72546816616788918110,588.45308410085110113770,754.22961178922602198380,370.33413250981340346290,485.71494575116156383540,153.17759907661823072770,1702.73645262293628291140,2016.17854812028588255840,418.32380156223385158750,325.12235223116569777760,60.87294848353970242970,112.62479760752638440910,125.44245761879273928650
903,India,37,Ladakh,1997,"Financial Year (Apr - Mar), 1997",9.09922621960205397440,2964.35729185473164634750,236.82048624911403456930,410.62445629949365207070,3201.17777810384568091680,3374.98174815422529841820,475.71892079356988434910,943.21354096557637375980,356.18221096153809355560,2199.27860264982625231730,2721.54356525905279738160,451.89907138696739209400,522.26496260922654506430,28.41320879630545219410,98.80097315851557164030,138.74132670898035663370
904,India,37,Ladakh,1998,"Financial Year (Apr - Mar), 1998",7.67747212278923304090,536.67936183691345268240,254.49398332949494709650,506.16633160531521880190,791.17334516640839977890,1042.84569344222867148430,417.58011480390099140690,541.44770634622414442860,257.07501384370899125270,2701.85773930318296907160,3100.16761781028249521060,332.90919005370976319800,398.30987850709952613900,16.31736240342099102140,81.73992399676172043830,-19.81706479557562716540
905,India,37,Ladakh,1999,"Financial Year (Apr - Mar), 1999",8.59614400072982502870,641.03611254297450920130,598.93031813736404309380,638.63006714836819685230,1239.96643068033855229510,1279.66617969134270605360,441.55307619016024899330,575.50418524987894740490,250.55681813832098143450,3052.59353841693041012810,3599.96886568986646952560,465.04482849749824410990,547.37532727293605939750,55.36091721589615050290,137.69141599133396579050,202.23905198663603617140
906,India,37,Ladakh,2000,"Financial Year (Apr - Mar), 2000",7.78683782254406542040,740.62451873972487397400,383.56738218014812138240,492.64873111561793669570,1124.19190091987299535640,1233.27324985534281066970,401.83145403920512875890,507.82869024158867097030,231.37407440132338207020,2499.85929185600756413510,2936.95024749617065204480,348.81096279806239117730,437.11282878011405438560,101.33825739282768284470,189.59637709497741310120,202.21717884668506969550
907,India,37,Ladakh,2001,"Financial Year (Apr - Mar), 2001",7.61185270293633361320,796.20416735513068923590,423.79208654997547056250,562.48966697905389424440,1219.99625390510615979840,1358.69383433418458348030,419.15498088037057767170,535.30135402000256470070,252.08793793488863474750,2918.72992191701557762010,3387.69004246573682091610,355.15417338384266918830,468.96012054872124329600,-5.57765068749645135450,108.22829647738212275320,89.32990355974708757560
908,India,37,Ladakh,2002,"Financial Year (Apr - Mar), 2002",7.43686758332860180600,828.18269796344367700170,401.85332717915609523480,621.59089112656531212620,1230.03602514259977223650,1449.77358909000898912790,429.52284921712868724830,544.22559511999688686790,264.83997852630209019720,3331.27921453219427957000,3841.60144272819312879290,396.25380335170867740440,510.27848191609691627110,-4.22151601053652984870,109.82503569380267549390,167.28577434499160768320
909,India,37,Ladakh,2003,"Financial Year (Apr - Mar), 2003",7.48061386323053475780,835.31334158745874814510,409.11520964287696523360,620.69409238857568661430,1244.42855123033571337870,1456.00743397603443475940,481.05596694160570446870,589.52486795844845845680,282.09788594761463968230,3860.54358192573009692230,4366.27245073202598620620,410.58071001959171911890,505.72886880629588928390,21.12945319263361571940,116.27761197933778588440,95.06066622690030426140
910,India,37,Ladakh,2004,"Financial Year (Apr - Mar), 2004",9.27421133920978578160,1715.83846345356520197550,977.13878102952537788070,1137.07518035099224966150,2692.99911762304154633210,2852.91364380455745163700,537.13869777588374867630,680.03592107554773573100,413.83980787228572402800,7248.53984835078044850100,8669.24403444595499115780,1259.82724175581611241230,1420.70418609517454265680,419.08936146051767824400,579.96630579987610848850,998.24636108220802712420
911,India,37,Ladakh,2005,"Financial Year (Apr - Mar), 2005",11.35215963455160099210,2559.06988170327381439640,2081.86358739303820968610,1651.44393943791989692590,4640.93346909631202408250,4210.51382114119371132230,706.21806959685460738330,888.24634026879761982310,463.42621614112672489330,12857.77534993642739420060,15299.53958208266799834530,2211.59318044222037824900,2441.76423214624060414470,502.97285317247411332050,733.14390487649433921620,1169.64428573798133227660
912,India,37,Ladakh,2006,"Financial Year (Apr - Mar), 2006",13.51760048969728210620,3572.18997795213904513260,3535.37748341466246619290,2597.12914521795548246240,7107.56746136680151132550,6169.31912317009452759500,829.77943717986422974240,1043.80811160007119642390,596.91798926187512731100,21080.47923228340177985990,25316.69399286698110036470,3863.45270953920863821700,4236.21476058357932050480,1011.15151365327824790520,1383.93543783759989666890,2214.91789771476728258580
913,India,37,Ladakh,2007,"Financial Year (Apr - Mar), 2007",14.69875004704947180480,5408.68068137523532817250,6408.89562505303033812770,3444.49458691839675882840,11817.57630642826566630020,8853.19714143358305347680,923.46209558985364602210,1151.92704237769848679760,730.93471774144672515030,29108.81839302608806067180,35500.43423751785488283850,6008.59529081039286268180,6391.61584449176682216670,1381.42002674323875194040,1764.46245356456367790120,2283.70892286055684929130
914,India,37,Ladakh,2008,"Financial Year (Apr - Mar), 2008",14.19566782817724285910,5329.80613871205021607710,4741.63740543056167912610,3395.62999226793765166780,10071.44354414261189520320,8725.43613097998786774490,985.01311141187330920470,1193.85785166370122109790,923.11212535063818240770,22089.88089474060270969310,29515.06822133538841756250,7016.00649753205584320810,7425.18732659478570786940,713.15185496131098024360,1122.33268402404084490490,1206.25992201589921293320
915,India,37,Ladakh,2009,"Financial Year (Apr - Mar), 2009",13.69258560930501391340,6257.68660857199909023100,4302.94971057397803847570,3935.85280277690767344600,10560.63631914597712870670,10193.53941134890676367700,967.71145771065882676780,1159.77949962009545164570,948.98804991263152339740,22607.77122935963595957740,28917.99712009385652492020,5753.99194178114308320580,6263.22051297959360863370,1213.91552099873747949820,1770.14946995181496163520,2210.67450856427978626120
916,India,37,Ladakh,2010,"Financial Year (Apr - Mar), 2010",17.38914626101834834050,7563.84116074396219859950,6396.18733074151881562980,5842.51253916270441117310,13960.02849148548101422930,13406.35369990666660977260,962.35253842267204017230,1209.25654218918162013150,1109.23067319341192584080,34899.44784422509999101010,41611.28645759901602035280,6078.10812957456432309200,6711.86048651386699581860,472.50356922077781239180,1106.25592616008048511840,2446.51070351560032941500
917,India,37,Ladakh,2011,"Financial Year (Apr - Mar), 2011",18.83277349778213574990,9627.28756429828663557780,6664.30828026046587721200,6727.91537123787638912920,16291.59584455875251278980,16355.20293553616302470700,1159.67013392034061926620,1393.40650743636838073360,1413.92351271037493512780,39377.03270416759437307140,49059.68118568177715915210,8862.88694243186120230050,9682.64848151418278608070,722.16358862110916831440,1541.94700084338171857050,1551.92115266102243158090
918,India,37,Ladakh,2012,"Financial Year (Apr - Mar), 2012",20.88884865317298448450,11479.52692848607878126570,3871.61139074091913372770,8593.45360451585615216430,15351.13831922699791499340,20072.98053300193493343000,1072.87751459490564289500,1326.78092314572449514220,1674.23575126682696481370,44018.84109886194505618990,53812.01455654836144499330,8685.95511336849337874540,9793.17345768641638880340,100.33209295508322495330,1207.55043727300623501130,1901.93513815638797893270
919,India,37,Ladakh,2013,"Financial Year (Apr - Mar), 2013",20.62637097376138677370,11323.98703029475617114080,5053.41714229163782660470,10744.85190381301678873650,16377.40417258639399774550,22068.83893410777295987730,1156.78287944681304444740,1461.76006978313861792110,1993.53984827103558000190,40941.72777055998122657790,51121.46523059982814396200,9075.64697473491211337980,10179.73746003984691738410,-344.45820794782006247320,759.63227735711474153110,2172.28714795033362105670
920,India,37,Ladakh,2014,"Financial Year (Apr - Mar), 2014",21.10758005268264924350,12640.88129418264381917620,6965.80764134458778101760,7177.43027037018843535010,19606.68893552723160019380,19818.31156455283225452630,1138.21258362844250640830,1422.23530589174219596980,2139.76178884324647139340,39919.61781379126877424680,52645.03879388439802277650,11342.40421413346994384860,12725.42098009312924852970,-170.12928253861724955020,1212.86561028109108865500,2188.80136861331331036120
921,India,37,Ladakh,2015,"Financial Year (Apr - Mar), 2015",20.67011725366331972550,15008.77993271447063420660,6501.68148472503012889550,7162.75339346308993002120,21510.46141743950076310210,22171.53332617756056422780,1144.55579421422278441930,1500.75987831571184445080,2637.02575248851833450400,42060.97634185093579838090,56247.19497356936113989210,12810.28876310287917502170,14186.21863171842534151120,-269.67394245546568137110,1106.25592616008048511840,960.27459012733022496180
922,India,37,Ladakh,2016,"Financial Year (Apr - Mar), 2016",22.22311019018193951440,21958.72954759460772019670,11281.26878797051864370810,8485.77213653724819130860,33239.99833556512636390480,30444.50168413185591150530,1291.12770502564913942520,1647.20055028743240060130,2940.01248708930595867080,49258.74863237552305631800,66379.00838397664050857930,15212.81258217708592140180,17120.25975160111745226130,-496.43278432713513702640,1411.03625823684736030900,1965.32349773428882609090
923,India,37,Ladakh,2017,"Financial Year (Apr - Mar), 2017",22.28872961003483894210,20129.10701011611491058940,11327.04926988789147776680,9661.97836426051946635520,31456.15628000400638835620,29791.08537437663437694460,1268.75148285581043457950,1607.63204011613404569820,3009.39408701377162022560,56135.11700446060891738050,71928.22398953683544440930,14016.24246115946485729230,15793.12885821617749350470,-608.75135797534799077290,1168.13503908136464543950,1910.59690157697070338910
924,India,37,Ladakh,2018,"Financial Year (Apr - Mar), 2018",21.87313995096647590000,18977.33307971807318912310,11068.50875566746773262880,9620.50689091348702804880,30045.84183538554092175190,28597.83997063156021717190,1288.83102533079765945570,1633.07050187910805716990,3438.78569739119450861850,54809.80158169159917612360,70721.37349274226013662680,14226.00587328923336117330,15911.55003791070999402730,-162.21120587636738527440,1523.33295874510924757960,2432.46814766707985188720
