ROWID,Country,State lgd code,State,YearCode,Year,Number of employees,Mandays employees
280,India,11,Sikkim,2011,"Financial Year (Apr - Mar), 2011",1757,2700
281,India,11,Sikkim,2012,"Financial Year (Apr - Mar), 2012",2214,3104
282,India,11,Sikkim,2013,"Financial Year (Apr - Mar), 2013",2507,3874
283,India,11,Sikkim,2014,"Financial Year (Apr - Mar), 2014",2561,4150
284,India,11,Sikkim,2015,"Financial Year (Apr - Mar), 2015",3507,3694
285,India,11,Sikkim,2016,"Financial Year (Apr - Mar), 2016",3848,5043
286,India,11,Sikkim,2017,"Financial Year (Apr - Mar), 2017",4588,5852
287,India,12,Arunachal Pradesh,1991,"Financial Year (Apr - Mar), 1991",,
288,India,12,Arunachal Pradesh,1992,"Financial Year (Apr - Mar), 1992",,
289,India,12,Arunachal Pradesh,1993,"Financial Year (Apr - Mar), 1993",,
290,India,12,Arunachal Pradesh,1994,"Financial Year (Apr - Mar), 1994",,
291,India,12,Arunachal Pradesh,1995,"Financial Year (Apr - Mar), 1995",,
292,India,12,Arunachal Pradesh,1996,"Financial Year (Apr - Mar), 1996",,
293,India,12,Arunachal Pradesh,1997,"Financial Year (Apr - Mar), 1997",,
294,India,12,Arunachal Pradesh,1999,"Financial Year (Apr - Mar), 1999",,
295,India,12,Arunachal Pradesh,2000,"Financial Year (Apr - Mar), 2000",,
296,India,12,Arunachal Pradesh,2001,"Financial Year (Apr - Mar), 2001",,
297,India,12,Arunachal Pradesh,2002,"Financial Year (Apr - Mar), 2002",,
298,India,12,Arunachal Pradesh,2003,"Financial Year (Apr - Mar), 2003",,
299,India,12,Arunachal Pradesh,2004,"Financial Year (Apr - Mar), 2004",,
300,India,12,Arunachal Pradesh,2005,"Financial Year (Apr - Mar), 2005",,
301,India,12,Arunachal Pradesh,2006,"Financial Year (Apr - Mar), 2006",,
302,India,12,Arunachal Pradesh,2007,"Financial Year (Apr - Mar), 2007",,
303,India,12,Arunachal Pradesh,2008,"Financial Year (Apr - Mar), 2008",,
304,India,12,Arunachal Pradesh,2009,"Financial Year (Apr - Mar), 2009",,
305,India,12,Arunachal Pradesh,2010,"Financial Year (Apr - Mar), 2010",,
306,India,12,Arunachal Pradesh,2011,"Financial Year (Apr - Mar), 2011",,
307,India,12,Arunachal Pradesh,2012,"Financial Year (Apr - Mar), 2012",,
308,India,12,Arunachal Pradesh,2013,"Financial Year (Apr - Mar), 2013",,
309,India,12,Arunachal Pradesh,2014,"Financial Year (Apr - Mar), 2014",702,1009
310,India,12,Arunachal Pradesh,2015,"Financial Year (Apr - Mar), 2015",698,932
311,India,12,Arunachal Pradesh,2016,"Financial Year (Apr - Mar), 2016",710,923
312,India,12,Arunachal Pradesh,2017,"Financial Year (Apr - Mar), 2017",559,918
313,India,13,Nagaland,1991,"Financial Year (Apr - Mar), 1991",4237,1301
314,India,13,Nagaland,1992,"Financial Year (Apr - Mar), 1992",4244,1232
315,India,13,Nagaland,1993,"Financial Year (Apr - Mar), 1993",4320,1270
316,India,13,Nagaland,1994,"Financial Year (Apr - Mar), 1994",4333,1249
317,India,13,Nagaland,1995,"Financial Year (Apr - Mar), 1995",5605,1523
318,India,13,Nagaland,1996,"Financial Year (Apr - Mar), 1996",5586,1376
319,India,13,Nagaland,1997,"Financial Year (Apr - Mar), 1997",4754,
320,India,13,Nagaland,1999,"Financial Year (Apr - Mar), 1999",3247,905
321,India,13,Nagaland,2000,"Financial Year (Apr - Mar), 2000",,718
322,India,13,Nagaland,2001,"Financial Year (Apr - Mar), 2001",,691
323,India,13,Nagaland,2002,"Financial Year (Apr - Mar), 2002",,696
324,India,13,Nagaland,2003,"Financial Year (Apr - Mar), 2003",,694
325,India,13,Nagaland,2004,"Financial Year (Apr - Mar), 2004",,735
326,India,13,Nagaland,2005,"Financial Year (Apr - Mar), 2005",,722
327,India,13,Nagaland,2006,"Financial Year (Apr - Mar), 2006",,929
328,India,13,Nagaland,2007,"Financial Year (Apr - Mar), 2007",,740
329,India,13,Nagaland,2008,"Financial Year (Apr - Mar), 2008",372,707
330,India,13,Nagaland,2009,"Financial Year (Apr - Mar), 2009",302,775
331,India,13,Nagaland,2010,"Financial Year (Apr - Mar), 2010",308,626
332,India,13,Nagaland,2011,"Financial Year (Apr - Mar), 2011",311,610
333,India,13,Nagaland,2012,"Financial Year (Apr - Mar), 2012",309,698
334,India,13,Nagaland,2013,"Financial Year (Apr - Mar), 2013",360,846
335,India,13,Nagaland,2014,"Financial Year (Apr - Mar), 2014",516,1216
