srcStateName,srcYear,Gross sown area ,Net Sown Area,Gross irrigated area ,Net irrigated area ,Cropping intensity (%),YearCode,Year
Haryana,2017-18,6549,3517,5993,3261,186.2,2017,"Calendar Year (Jan - Dec), 2017"
Himachal Pradesh,2017-18,917,543,203,110,168.9,2017,"Calendar Year (Jan - Dec), 2017"
Jammu and Kashmir,2017-18,1165,752,501,332,154.9,2017,"Calendar Year (Jan - Dec), 2017"
Jharkhand,2017-18,2033,1444,247,231,140.8,2017,"Calendar Year (Jan - Dec), 2017"
Karnataka,2017-18,11994,9895,3639,3155,121.2,2017,"Calendar Year (Jan - Dec), 2017"
Kerala,2017-18,2580,2040,540,392,126.5,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,2017-18,23109,16943,4692,3169,136.4,2017,"Calendar Year (Jan - Dec), 2017"
Manipur,2017-18,446,446,73,73,100,2017,"Calendar Year (Jan - Dec), 2017"
Meghalaya,2017-18,309,253,140,100,122.1,2017,"Calendar Year (Jan - Dec), 2017"
Mizoram,2017-18,188,146,29,16,129.2,2017,"Calendar Year (Jan - Dec), 2017"
Nagaland,2017-18,530,385,123,116,137.7,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,2017-18,4502,3863,1151,970,116.5,2017,"Calendar Year (Jan - Dec), 2017"
Puducherry,2017-18,26,15,22,13,173.3,2017,"Calendar Year (Jan - Dec), 2017"
Punjab,2017-18,7779,4124,7661,4122,188.6,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,2017-18,25069,17903,10604,7985,140,2017,"Calendar Year (Jan - Dec), 2017"
Sikkim,2017-18,153,77,15,15,197.8,2017,"Calendar Year (Jan - Dec), 2017"
Tamil Nadu,2017-18,5730,4639,3278,2627,123.5,2017,"Calendar Year (Jan - Dec), 2017"
Telangana,2017-18,6059,4898,3172,2324,123.7,2017,"Calendar Year (Jan - Dec), 2017"
Tripura,2017-18,487,255,117,80,191,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,2017-18,26864,16542,21596,14332,162.4,2017,"Calendar Year (Jan - Dec), 2017"
Uttarakhand,2017-18,1060,673,543,329,157.5,2017,"Calendar Year (Jan - Dec), 2017"
West Bengal,2017-18,9945,5247,6481,3107,189.5,2017,"Calendar Year (Jan - Dec), 2017"
Andhra Pradesh,2018-19,7297,6049,3635,2796,120.6,2018,"Calendar Year (Jan - Dec), 2018"
Arunachal Pradesh,2018-19,320,234,56,55,136.8,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018-19,4004,2723,494,366,147,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018-19,7406,5167,5493,3115,143.3,2018,"Calendar Year (Jan - Dec), 2018"
Chhattisgarh,2018-19,5614,4679,2007,1565,120,2018,"Calendar Year (Jan - Dec), 2018"
NCT of Delhi,2018-19,,,,,,2018,"Calendar Year (Jan - Dec), 2018"
Goa,2018-19,150,128,34,16,117.2,2018,"Calendar Year (Jan - Dec), 2018"
Gujarat,2018-19,,,,,,2018,"Calendar Year (Jan - Dec), 2018"
Haryana,2018-19,6605,3600,6024,3273,183.5,2018,"Calendar Year (Jan - Dec), 2018"
Himachal Pradesh,2018-19,914,542,198,117,168.6,2018,"Calendar Year (Jan - Dec), 2018"
Jammu and Kashmir,2018-19,1124,713,495,329,157.6,2018,"Calendar Year (Jan - Dec), 2018"
Karnataka,2018-19,13551,10664,4744,4032,127.1,2018,"Calendar Year (Jan - Dec), 2018"
Kerala,2018-19,2571,2034,,404,126.4,2018,"Calendar Year (Jan - Dec), 2018"
Madhya Pradesh,2018-19,26115,15205,12684,11349,171.8,2018,"Calendar Year (Jan - Dec), 2018"
Maharashtra,2018-19,,,,,,2018,"Calendar Year (Jan - Dec), 2018"
Manipur,2018-19,,,,,,2018,"Calendar Year (Jan - Dec), 2018"
Meghalaya,2018-19,312,255,142,101,122.4,2018,"Calendar Year (Jan - Dec), 2018"
Mizoram,2018-19,,,,,,2018,"Calendar Year (Jan - Dec), 2018"
Nagaland,2018-19,529,384,126,118,137.8,2018,"Calendar Year (Jan - Dec), 2018"
Odisha,2018-19,4527,4006,1314,1092,113,2018,"Calendar Year (Jan - Dec), 2018"
Puducherry,2018-19,27,15,23,13,180,2018,"Calendar Year (Jan - Dec), 2018"
Punjab,2018-19,7850,4119,7735,4111,190.6,2018,"Calendar Year (Jan - Dec), 2018"
Rajasthan,2018-19,25313,17778,11021,8283,142.4,2018,"Calendar Year (Jan - Dec), 2018"
Sikkim,2018-19,,,,,,2018,"Calendar Year (Jan - Dec), 2018"
Tamil Nadu,2018-19,5672,4582,3183,2565,123.8,2018,"Calendar Year (Jan - Dec), 2018"
Telangana,2018-19,5774,4660,3131,2210,123.9,2018,"Calendar Year (Jan - Dec), 2018"
Tripura,2018-19,487,255,117,87,191,2018,"Calendar Year (Jan - Dec), 2018"
Uttar Pradesh,2018-19,26859,16538,21681,14392,162.4,2018,"Calendar Year (Jan - Dec), 2018"
Uttarakhand,2018-19,1029,648,540,323,158.8,2018,"Calendar Year (Jan - Dec), 2018"
West Bengal,2018-19,9960,5248,,,189.8,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018-19,1824,1281,249,231,142.4,2018,"Calendar Year (Jan - Dec), 2018"
Punjab,2019-20,,,,,,2019,"Calendar Year (Jan - Dec), 2019"
Andhra Pradesh,2019-20,7287,5884,3813,2879,123.8,2019,"Calendar Year (Jan - Dec), 2019"
Arunachal Pradesh,2019-20,320,234,56,56,136.8,2019,"Calendar Year (Jan - Dec), 2019"
Assam,2019-20,,,,,,2019,"Calendar Year (Jan - Dec), 2019"
Bihar,2019-20,7297,5077,5435,3059,143.7,2019,"Calendar Year (Jan - Dec), 2019"
Chhattisgarh,2019-20,5735,4635,2024,1528,123.7,2019,"Calendar Year (Jan - Dec), 2019"
NCT of Delhi,2019-20,,,,,,2019,"Calendar Year (Jan - Dec), 2019"
Goa,2019-20,146,127,32,22,115,2019,"Calendar Year (Jan - Dec), 2019"
Gujarat,2019-20,,,,,,2019,"Calendar Year (Jan - Dec), 2019"
Haryana,2019-20,,,,,,2019,"Calendar Year (Jan - Dec), 2019"
Himachal Pradesh,2019-20,,,,,,2019,"Calendar Year (Jan - Dec), 2019"
Jammu and Kashmir,2019-20,1090,720,592,428,151.4,2019,"Calendar Year (Jan - Dec), 2019"
Jharkhand,2019-20,,,,,,2019,"Calendar Year (Jan - Dec), 2019"
Karnataka,2019-20,,,,,,2019,"Calendar Year (Jan - Dec), 2019"
Kerala,2019-20,2586,2026,,410,127.6,2019,"Calendar Year (Jan - Dec), 2019"
Madhya Pradesh,2019-20,28276,15512,14704,12517,182.3,2019,"Calendar Year (Jan - Dec), 2019"
West Bengal,2019-20,10100,5250,,,192.4,2019,"Calendar Year (Jan - Dec), 2019"
Maharashtra,2019-20,,,,,,2019,"Calendar Year (Jan - Dec), 2019"
Manipur,2019-20,,,,,,2019,"Calendar Year (Jan - Dec), 2019"
Meghalaya,2019-20,,,,,,2019,"Calendar Year (Jan - Dec), 2019"
Mizoram,2019-20,,,,,,2019,"Calendar Year (Jan - Dec), 2019"
Nagaland,2019-20,,,,,,2019,"Calendar Year (Jan - Dec), 2019"
Odisha,2019-20,4670,4102,1363,1137,113.8,2019,"Calendar Year (Jan - Dec), 2019"
Puducherry,2019-20,,,,,,2019,"Calendar Year (Jan - Dec), 2019"
Uttarakhand,2019-20,,,,,,2019,"Calendar Year (Jan - Dec), 2019"
Rajasthan,2019-20,27515,18032,11789,8821,152.6,2019,"Calendar Year (Jan - Dec), 2019"
Sikkim,2019-20,,,,,,2019,"Calendar Year (Jan - Dec), 2019"
Tamil Nadu,2019-20,5942,4738,3410,2672,125.4,2019,"Calendar Year (Jan - Dec), 2019"
Telangana,2019-20,,,,,,2019,"Calendar Year (Jan - Dec), 2019"
Tripura,2019-20,,,,,,2019,"Calendar Year (Jan - Dec), 2019"
Uttar Pradesh,2019-20,,,,,,2019,"Calendar Year (Jan - Dec), 2019"
