ROWID,Country,State lgd code,State,YearCode,Year,Gross sown area ,Net sown area,Gross irrigated area ,Net irrigated area ,Cropping intensity (%)
187,India,8,Rajasthan,2003,"Calendar Year (Jan - Dec), 2003",21664,17394,6393,5239,124.5
188,India,8,Rajasthan,2004,"Calendar Year (Jan - Dec), 2004",21062,16549,7093,5880,127.3
189,India,8,Rajasthan,2005,"Calendar Year (Jan - Dec), 2005",21699,16836,7818,6294,128.9
190,India,8,Rajasthan,2006,"Calendar Year (Jan - Dec), 2006",21534,16764,7958,6496,128.5
191,India,8,Rajasthan,2007,"Calendar Year (Jan - Dec), 2007",22208,17096,8088,6444,129.9
192,India,8,Rajasthan,2008,"Calendar Year (Jan - Dec), 2008",22771,17551,7910,6245,129.7
193,India,8,Rajasthan,2009,"Calendar Year (Jan - Dec), 2009",21745,16974,7309,5850,128.1
194,India,8,Rajasthan,2010,"Calendar Year (Jan - Dec), 2010",26002,18349,8322,6661,141.7
195,India,8,Rajasthan,2011,"Calendar Year (Jan - Dec), 2011",24505,18034,8903,7122,135.9
696,India,27,Maharashtra,2019,"Calendar Year (Jan - Dec), 2019",,,,,
196,India,8,Rajasthan,2012,"Calendar Year (Jan - Dec), 2012",23954,17479,9455,7499,137
197,India,8,Rajasthan,2013,"Calendar Year (Jan - Dec), 2013",26120,18268,9865,7650,143
198,India,8,Rajasthan,2014,"Calendar Year (Jan - Dec), 2014",24235,17521,10171,7882,138.3
199,India,8,Rajasthan,2015,"Calendar Year (Jan - Dec), 2015",25014,18024,10562,7938,138.8
200,India,8,Rajasthan,2016,"Calendar Year (Jan - Dec), 2016",26036,18169,10724,8257,143.3
201,India,8,Rajasthan,2017,"Calendar Year (Jan - Dec), 2017",25069,17903,10604,7985,140
202,India,8,Rajasthan,2018,"Calendar Year (Jan - Dec), 2018",25313,17778,11021,8283,142.4
203,India,8,Rajasthan,2019,"Calendar Year (Jan - Dec), 2019",27515,18032,11789,8821,152.6
204,India,9,Uttar Pradesh,1991,"Calendar Year (Jan - Dec), 1991",25282,17216,15426,11048,146.9
205,India,9,Uttar Pradesh,1992,"Calendar Year (Jan - Dec), 1992",25673,17259,15996,11322,148.8
206,India,9,Uttar Pradesh,1993,"Calendar Year (Jan - Dec), 1993",25545,17250,16364,11564,148.1
207,India,9,Uttar Pradesh,1994,"Calendar Year (Jan - Dec), 1994",25738,17315,16823,11670,148.6
208,India,9,Uttar Pradesh,1995,"Calendar Year (Jan - Dec), 1995",25793,17399,16972,11675,148.2
209,India,9,Uttar Pradesh,1996,"Calendar Year (Jan - Dec), 1996",26129,17475,17467,11999,149.5
210,India,9,Uttar Pradesh,1997,"Calendar Year (Jan - Dec), 1997",26044,17476,17322,12012,149
211,India,9,Uttar Pradesh,1998,"Calendar Year (Jan - Dec), 1998",26162,17585,17698,12691,148.8
212,India,9,Uttar Pradesh,1999,"Calendar Year (Jan - Dec), 1999",26378,17612,18127,12816,149.8
213,India,9,Uttar Pradesh,2000,"Calendar Year (Jan - Dec), 2000",25304,16825,17690,12401,150.4
214,India,9,Uttar Pradesh,2001,"Calendar Year (Jan - Dec), 2001",25447,16812,18220,12828,151.4
215,India,9,Uttar Pradesh,2002,"Calendar Year (Jan - Dec), 2002",24311,16597,17792,12848,146.5
216,India,9,Uttar Pradesh,2003,"Calendar Year (Jan - Dec), 2003",25425,16750,18524,13227,151.8
217,India,9,Uttar Pradesh,2004,"Calendar Year (Jan - Dec), 2004",25524,16683,18939,13119,153
218,India,9,Uttar Pradesh,2005,"Calendar Year (Jan - Dec), 2005",25307,16633,18970,13075,152.2
219,India,9,Uttar Pradesh,2006,"Calendar Year (Jan - Dec), 2006",25415,16573,19218,13313,153.3
220,India,9,Uttar Pradesh,2007,"Calendar Year (Jan - Dec), 2007",25320,16417,19142,13085,154.2
221,India,9,Uttar Pradesh,2008,"Calendar Year (Jan - Dec), 2008",25471,16562,19612,13435,153.8
222,India,9,Uttar Pradesh,2009,"Calendar Year (Jan - Dec), 2009",25440,16589,19354,13383,153.4
223,India,9,Uttar Pradesh,2010,"Calendar Year (Jan - Dec), 2010",25615,16593,19626,13440,154.4
224,India,9,Uttar Pradesh,2011,"Calendar Year (Jan - Dec), 2011",25939,16623,19901,13809,156
225,India,9,Uttar Pradesh,2012,"Calendar Year (Jan - Dec), 2012",25821,16564,20191,13929,155.9
