srcStateName,srcYear,Consumption of chemical fertiliser,YearCode,Year
Madhya Pradesh,2017-18,82,2017,"Calendar Year (Jan - Dec), 2017"
Chhattisgarh,2017-18,86.8,2017,"Calendar Year (Jan - Dec), 2017"
Maharashtra,2017-18,123.9,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,2017-18,47.4,2017,"Calendar Year (Jan - Dec), 2017"
Goa,2017-18,39.1,2017,"Calendar Year (Jan - Dec), 2017"
Daman & Diu,2017-18,35.9,2017,"Calendar Year (Jan - Dec), 2017"
Dadra & Nagar Haveli,2017-18,31.7,2017,"Calendar Year (Jan - Dec), 2017"
Haryana,2017-18,212.9,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,2017-18,168.2,2017,"Calendar Year (Jan - Dec), 2017"
Uttaranchal,2017-18,152.1,2017,"Calendar Year (Jan - Dec), 2017"
Himachal Pradesh,2017-18,63.2,2017,"Calendar Year (Jan - Dec), 2017"
Jammu and Kashmir,2017-18,70.7,2017,"Calendar Year (Jan - Dec), 2017"
Delhi,2017-18,77,2017,"Calendar Year (Jan - Dec), 2017"
Chandigarh,2017-18,,2017,"Calendar Year (Jan - Dec), 2017"
Bihar,2017-18,213,2017,"Calendar Year (Jan - Dec), 2017"
Jharkhand,2017-18,50.6,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,2017-18,68.7,2017,"Calendar Year (Jan - Dec), 2017"
West Bengal,2017-18,162.9,2017,"Calendar Year (Jan - Dec), 2017"
Assam,2017-18,63.5,2017,"Calendar Year (Jan - Dec), 2017"
Tripura,2017-18,27.4,2017,"Calendar Year (Jan - Dec), 2017"
Manipur,2017-18,58,2017,"Calendar Year (Jan - Dec), 2017"
Meghalaya,2017-18,0,2017,"Calendar Year (Jan - Dec), 2017"
Nagaland,2017-18,,2017,"Calendar Year (Jan - Dec), 2017"
Arunachal Pradesh,2017-18,0,2017,"Calendar Year (Jan - Dec), 2017"
Mizoram,2017-18,36.8,2017,"Calendar Year (Jan - Dec), 2017"
Sikkim,2017-18,,2017,"Calendar Year (Jan - Dec), 2017"
Punjab,2018-19,224.5,2018,"Calendar Year (Jan - Dec), 2018"
Andhra Pradesh,2018-19,167.5,2018,"Calendar Year (Jan - Dec), 2018"
Telangana,2018-19,241.5,2018,"Calendar Year (Jan - Dec), 2018"
Karnataka,2018-19,180.1,2018,"Calendar Year (Jan - Dec), 2018"
Kerala,2018-19,37.6,2018,"Calendar Year (Jan - Dec), 2018"
Tamil Nadu,2018-19,192.4,2018,"Calendar Year (Jan - Dec), 2018"
Puducherry,2018-19,227.9,2018,"Calendar Year (Jan - Dec), 2018"
Andaman and Nicobar Islands,2018-19,15.8,2018,"Calendar Year (Jan - Dec), 2018"
Lakshadweep,2018-19,,2018,"Calendar Year (Jan - Dec), 2018"
Gujarat,2018-19,135.5,2018,"Calendar Year (Jan - Dec), 2018"
Madhya Pradesh,2018-19,90.3,2018,"Calendar Year (Jan - Dec), 2018"
Chhattisgarh,2018-19,86.3,2018,"Calendar Year (Jan - Dec), 2018"
Maharashtra,2018-19,126,2018,"Calendar Year (Jan - Dec), 2018"
Rajasthan,2018-19,60.8,2018,"Calendar Year (Jan - Dec), 2018"
Goa,2018-19,36.5,2018,"Calendar Year (Jan - Dec), 2018"
Daman & Diu,2018-19,38.6,2018,"Calendar Year (Jan - Dec), 2018"
Dadra & Nagar Haveli,2018-19,13.9,2018,"Calendar Year (Jan - Dec), 2018"
Haryana,2018-19,224.5,2018,"Calendar Year (Jan - Dec), 2018"
Uttar Pradesh,2018-19,170.1,2018,"Calendar Year (Jan - Dec), 2018"
Uttaranchal,2018-19,140.7,2018,"Calendar Year (Jan - Dec), 2018"
Himachal Pradesh,2018-19,63.3,2018,"Calendar Year (Jan - Dec), 2018"
Jammu and Kashmir,2018-19,61.9,2018,"Calendar Year (Jan - Dec), 2018"
Delhi,2018-19,112,2018,"Calendar Year (Jan - Dec), 2018"
Chandigarh,2018-19,,2018,"Calendar Year (Jan - Dec), 2018"
Bihar,2018-19,227.7,2018,"Calendar Year (Jan - Dec), 2018"
Jharkhand,2018-19,59.8,2018,"Calendar Year (Jan - Dec), 2018"
Odisha,2018-19,72.4,2018,"Calendar Year (Jan - Dec), 2018"
West Bengal,2018-19,161.1,2018,"Calendar Year (Jan - Dec), 2018"
Assam,2018-19,67.9,2018,"Calendar Year (Jan - Dec), 2018"
Tripura,2018-19,0,2018,"Calendar Year (Jan - Dec), 2018"
Manipur,2018-19,68.3,2018,"Calendar Year (Jan - Dec), 2018"
Meghalaya,2018-19,0,2018,"Calendar Year (Jan - Dec), 2018"
Nagaland,2018-19,,2018,"Calendar Year (Jan - Dec), 2018"
Arunachal Pradesh,2018-19,,2018,"Calendar Year (Jan - Dec), 2018"
Mizoram,2018-19,55.9,2018,"Calendar Year (Jan - Dec), 2018"
Sikkim,2018-19,,2018,"Calendar Year (Jan - Dec), 2018"
West Bengal,2019-20,167.9,2019,"Calendar Year (Jan - Dec), 2019"
Andhra Pradesh,2019-20,195.8,2019,"Calendar Year (Jan - Dec), 2019"
Telangana,2019-20,206.5,2019,"Calendar Year (Jan - Dec), 2019"
Karnataka,2019-20,152.2,2019,"Calendar Year (Jan - Dec), 2019"
Kerala,2019-20,36.5,2019,"Calendar Year (Jan - Dec), 2019"
Tamil Nadu,2019-20,161.8,2019,"Calendar Year (Jan - Dec), 2019"
Puducherry,2019-20,244.8,2019,"Calendar Year (Jan - Dec), 2019"
Andaman and Nicobar Islands,2019-20,0,2019,"Calendar Year (Jan - Dec), 2019"
Lakshadweep,2019-20,,2019,"Calendar Year (Jan - Dec), 2019"
Gujarat,2019-20,130.8,2019,"Calendar Year (Jan - Dec), 2019"
Madhya Pradesh,2019-20,102.5,2019,"Calendar Year (Jan - Dec), 2019"
Chhattisgarh,2019-20,111.3,2019,"Calendar Year (Jan - Dec), 2019"
Maharashtra,2019-20,117.7,2019,"Calendar Year (Jan - Dec), 2019"
Rajasthan,2019-20,62.3,2019,"Calendar Year (Jan - Dec), 2019"
Goa,2019-20,31.2,2019,"Calendar Year (Jan - Dec), 2019"
Daman & Diu,2019-20,0,2019,"Calendar Year (Jan - Dec), 2019"
Dadra & Nagar Haveli,2019-20,0,2019,"Calendar Year (Jan - Dec), 2019"
Haryana,2019-20,212.9,2019,"Calendar Year (Jan - Dec), 2019"
Odisha,2019-20,67.2,2019,"Calendar Year (Jan - Dec), 2019"
Sikkim,2019-20,,2019,"Calendar Year (Jan - Dec), 2019"
Punjab,2019-20,243.1,2019,"Calendar Year (Jan - Dec), 2019"
Uttar Pradesh,2019-20,180.4,2019,"Calendar Year (Jan - Dec), 2019"
Uttaranchal,2019-20,136.5,2019,"Calendar Year (Jan - Dec), 2019"
Himachal Pradesh,2019-20,64.2,2019,"Calendar Year (Jan - Dec), 2019"
Jammu and Kashmir,2019-20,40.9,2019,"Calendar Year (Jan - Dec), 2019"
Delhi,2019-20,141,2019,"Calendar Year (Jan - Dec), 2019"
Chandigarh,2019-20,,2019,"Calendar Year (Jan - Dec), 2019"
Bihar,2019-20,245.3,2019,"Calendar Year (Jan - Dec), 2019"
Jharkhand,2019-20,60.3,2019,"Calendar Year (Jan - Dec), 2019"
Assam,2019-20,61.5,2019,"Calendar Year (Jan - Dec), 2019"
Tripura,2019-20,34.7,2019,"Calendar Year (Jan - Dec), 2019"
Manipur,2019-20,51.9,2019,"Calendar Year (Jan - Dec), 2019"
Meghalaya,2019-20,0,2019,"Calendar Year (Jan - Dec), 2019"
Nagaland,2019-20,0,2019,"Calendar Year (Jan - Dec), 2019"
Arunachal Pradesh,2019-20,0,2019,"Calendar Year (Jan - Dec), 2019"
Mizoram,2019-20,32,2019,"Calendar Year (Jan - Dec), 2019"
