ROWID,Country,State lgd code,State,YearCode,Year,Consumption of chemical fertiliser
709,India,27,Maharashtra,2003,"Calendar Year (Jan - Dec), 2003",64.3
710,India,27,Maharashtra,2004,"Calendar Year (Jan - Dec), 2004",74.7
711,India,27,Maharashtra,2005,"Calendar Year (Jan - Dec), 2005",84.5
712,India,27,Maharashtra,2006,"Calendar Year (Jan - Dec), 2006",100.1
713,India,27,Maharashtra,2007,"Calendar Year (Jan - Dec), 2007",102.7
714,India,27,Maharashtra,2008,"Calendar Year (Jan - Dec), 2008",113.3
715,India,27,Maharashtra,2009,"Calendar Year (Jan - Dec), 2009",135.3
716,India,27,Maharashtra,2010,"Calendar Year (Jan - Dec), 2010",152.8
717,India,27,Maharashtra,2011,"Calendar Year (Jan - Dec), 2011",137.9
718,India,27,Maharashtra,2012,"Calendar Year (Jan - Dec), 2012",113
719,India,27,Maharashtra,2013,"Calendar Year (Jan - Dec), 2013",117.7
720,India,27,Maharashtra,2014,"Calendar Year (Jan - Dec), 2014",125.6
721,India,27,Maharashtra,2015,"Calendar Year (Jan - Dec), 2015",122.5
722,India,27,Maharashtra,2016,"Calendar Year (Jan - Dec), 2016",114.8
723,India,27,Maharashtra,2017,"Calendar Year (Jan - Dec), 2017",123.9
724,India,27,Maharashtra,2018,"Calendar Year (Jan - Dec), 2018",126
725,India,27,Maharashtra,2019,"Calendar Year (Jan - Dec), 2019",117.7
726,India,28,Andhra Pradesh,1991,"Calendar Year (Jan - Dec), 1991",119.4
727,India,28,Andhra Pradesh,1992,"Calendar Year (Jan - Dec), 1992",114.8
728,India,28,Andhra Pradesh,1993,"Calendar Year (Jan - Dec), 1993",117
729,India,28,Andhra Pradesh,1994,"Calendar Year (Jan - Dec), 1994",128.9
730,India,28,Andhra Pradesh,1995,"Calendar Year (Jan - Dec), 1995",138
731,India,28,Andhra Pradesh,1996,"Calendar Year (Jan - Dec), 1996",139.4
732,India,28,Andhra Pradesh,1997,"Calendar Year (Jan - Dec), 1997",129.9
733,India,28,Andhra Pradesh,1998,"Calendar Year (Jan - Dec), 1998",149.7
734,India,28,Andhra Pradesh,1999,"Calendar Year (Jan - Dec), 1999",174.6
735,India,28,Andhra Pradesh,2000,"Calendar Year (Jan - Dec), 2000",159.6
736,India,28,Andhra Pradesh,2001,"Calendar Year (Jan - Dec), 2001",150.1
737,India,28,Andhra Pradesh,2002,"Calendar Year (Jan - Dec), 2002",123.5
738,India,28,Andhra Pradesh,2003,"Calendar Year (Jan - Dec), 2003",145.3
739,India,28,Andhra Pradesh,2004,"Calendar Year (Jan - Dec), 2004",158.6
740,India,28,Andhra Pradesh,2005,"Calendar Year (Jan - Dec), 2005",203.6
741,India,28,Andhra Pradesh,2006,"Calendar Year (Jan - Dec), 2006",185.9
742,India,28,Andhra Pradesh,2007,"Calendar Year (Jan - Dec), 2007",196.6
743,India,28,Andhra Pradesh,2008,"Calendar Year (Jan - Dec), 2008",226.3
744,India,28,Andhra Pradesh,2009,"Calendar Year (Jan - Dec), 2009",225.6
745,India,28,Andhra Pradesh,2010,"Calendar Year (Jan - Dec), 2010",278.4
746,India,28,Andhra Pradesh,2011,"Calendar Year (Jan - Dec), 2011",242.9
747,India,28,Andhra Pradesh,2012,"Calendar Year (Jan - Dec), 2012",199.7
748,India,28,Andhra Pradesh,2013,"Calendar Year (Jan - Dec), 2013",220.1
749,India,28,Andhra Pradesh,2014,"Calendar Year (Jan - Dec), 2014",237.2
750,India,28,Andhra Pradesh,2015,"Calendar Year (Jan - Dec), 2015",225.7
751,India,28,Andhra Pradesh,2016,"Calendar Year (Jan - Dec), 2016",186.3
752,India,28,Andhra Pradesh,2017,"Calendar Year (Jan - Dec), 2017",184.8
753,India,28,Andhra Pradesh,2018,"Calendar Year (Jan - Dec), 2018",167.5
754,India,28,Andhra Pradesh,2019,"Calendar Year (Jan - Dec), 2019",195.8
755,India,29,Karnataka,1991,"Calendar Year (Jan - Dec), 1991",74.8
756,India,29,Karnataka,1992,"Calendar Year (Jan - Dec), 1992",66.4
757,India,29,Karnataka,1993,"Calendar Year (Jan - Dec), 1993",65
758,India,29,Karnataka,1994,"Calendar Year (Jan - Dec), 1994",66.3
759,India,29,Karnataka,1995,"Calendar Year (Jan - Dec), 1995",75.3
760,India,29,Karnataka,1996,"Calendar Year (Jan - Dec), 1996",66.4
761,India,29,Karnataka,1997,"Calendar Year (Jan - Dec), 1997",92.8
762,India,29,Karnataka,1998,"Calendar Year (Jan - Dec), 1998",93.1
763,India,29,Karnataka,1999,"Calendar Year (Jan - Dec), 1999",108.7
764,India,29,Karnataka,2000,"Calendar Year (Jan - Dec), 2000",109.5
765,India,29,Karnataka,2001,"Calendar Year (Jan - Dec), 2001",103.3
766,India,29,Karnataka,2002,"Calendar Year (Jan - Dec), 2002",89.5
767,India,29,Karnataka,2003,"Calendar Year (Jan - Dec), 2003",78.8
768,India,29,Karnataka,2004,"Calendar Year (Jan - Dec), 2004",99.5
769,India,29,Karnataka,2005,"Calendar Year (Jan - Dec), 2005",117.3
770,India,29,Karnataka,2006,"Calendar Year (Jan - Dec), 2006",114.1
771,India,29,Karnataka,2007,"Calendar Year (Jan - Dec), 2007",116.9
772,India,29,Karnataka,2008,"Calendar Year (Jan - Dec), 2008",142.1
773,India,29,Karnataka,2009,"Calendar Year (Jan - Dec), 2009",159.5
774,India,29,Karnataka,2010,"Calendar Year (Jan - Dec), 2010",164
775,India,29,Karnataka,2011,"Calendar Year (Jan - Dec), 2011",193.7
776,India,29,Karnataka,2012,"Calendar Year (Jan - Dec), 2012",130.3
777,India,29,Karnataka,2013,"Calendar Year (Jan - Dec), 2013",153.7
778,India,29,Karnataka,2014,"Calendar Year (Jan - Dec), 2014",176.2
779,India,29,Karnataka,2015,"Calendar Year (Jan - Dec), 2015",175
780,India,29,Karnataka,2016,"Calendar Year (Jan - Dec), 2016",166.7
781,India,29,Karnataka,2017,"Calendar Year (Jan - Dec), 2017",164.5
782,India,29,Karnataka,2018,"Calendar Year (Jan - Dec), 2018",180.1
783,India,29,Karnataka,2019,"Calendar Year (Jan - Dec), 2019",152.2
784,India,30,Goa,1991,"Calendar Year (Jan - Dec), 1991",
785,India,30,Goa,1992,"Calendar Year (Jan - Dec), 1992",
786,India,30,Goa,1993,"Calendar Year (Jan - Dec), 1993",39.4
787,India,30,Goa,1994,"Calendar Year (Jan - Dec), 1994",39
788,India,30,Goa,1995,"Calendar Year (Jan - Dec), 1995",42.3
789,India,30,Goa,1996,"Calendar Year (Jan - Dec), 1996",37.1
790,India,30,Goa,1997,"Calendar Year (Jan - Dec), 1997",38.4
791,India,30,Goa,1998,"Calendar Year (Jan - Dec), 1998",42
792,India,30,Goa,1999,"Calendar Year (Jan - Dec), 1999",43.1
793,India,30,Goa,2000,"Calendar Year (Jan - Dec), 2000",34.2
794,India,30,Goa,2001,"Calendar Year (Jan - Dec), 2001",34.3
795,India,30,Goa,2002,"Calendar Year (Jan - Dec), 2002",32.3
796,India,30,Goa,2003,"Calendar Year (Jan - Dec), 2003",36.3
797,India,30,Goa,2004,"Calendar Year (Jan - Dec), 2004",34.1
798,India,30,Goa,2005,"Calendar Year (Jan - Dec), 2005",32.7
799,India,30,Goa,2006,"Calendar Year (Jan - Dec), 2006",35
800,India,30,Goa,2007,"Calendar Year (Jan - Dec), 2007",42
801,India,30,Goa,2008,"Calendar Year (Jan - Dec), 2008",47.8
802,India,30,Goa,2009,"Calendar Year (Jan - Dec), 2009",53.5
803,India,30,Goa,2010,"Calendar Year (Jan - Dec), 2010",46.1
804,India,30,Goa,2011,"Calendar Year (Jan - Dec), 2011",46.5
805,India,30,Goa,2012,"Calendar Year (Jan - Dec), 2012",33
806,India,30,Goa,2013,"Calendar Year (Jan - Dec), 2013",53.5
807,India,30,Goa,2014,"Calendar Year (Jan - Dec), 2014",46.9
808,India,30,Goa,2015,"Calendar Year (Jan - Dec), 2015",49.1
809,India,30,Goa,2016,"Calendar Year (Jan - Dec), 2016",144.6
810,India,30,Goa,2017,"Calendar Year (Jan - Dec), 2017",39.1
811,India,30,Goa,2018,"Calendar Year (Jan - Dec), 2018",36.5
812,India,30,Goa,2019,"Calendar Year (Jan - Dec), 2019",31.2
813,India,31,Lakshadweep,1991,"Calendar Year (Jan - Dec), 1991",
814,India,31,Lakshadweep,1992,"Calendar Year (Jan - Dec), 1992",
815,India,31,Lakshadweep,1993,"Calendar Year (Jan - Dec), 1993",
816,India,31,Lakshadweep,1994,"Calendar Year (Jan - Dec), 1994",
817,India,31,Lakshadweep,1995,"Calendar Year (Jan - Dec), 1995",
818,India,31,Lakshadweep,1996,"Calendar Year (Jan - Dec), 1996",
819,India,31,Lakshadweep,1997,"Calendar Year (Jan - Dec), 1997",
820,India,31,Lakshadweep,1998,"Calendar Year (Jan - Dec), 1998",
821,India,31,Lakshadweep,1999,"Calendar Year (Jan - Dec), 1999",2.3
822,India,31,Lakshadweep,2000,"Calendar Year (Jan - Dec), 2000",
823,India,31,Lakshadweep,2001,"Calendar Year (Jan - Dec), 2001",
824,India,31,Lakshadweep,2002,"Calendar Year (Jan - Dec), 2002",
825,India,31,Lakshadweep,2003,"Calendar Year (Jan - Dec), 2003",3.3
826,India,31,Lakshadweep,2004,"Calendar Year (Jan - Dec), 2004",
827,India,31,Lakshadweep,2005,"Calendar Year (Jan - Dec), 2005",
828,India,31,Lakshadweep,2006,"Calendar Year (Jan - Dec), 2006",
829,India,31,Lakshadweep,2007,"Calendar Year (Jan - Dec), 2007",
830,India,31,Lakshadweep,2008,"Calendar Year (Jan - Dec), 2008",
831,India,31,Lakshadweep,2009,"Calendar Year (Jan - Dec), 2009",
832,India,31,Lakshadweep,2010,"Calendar Year (Jan - Dec), 2010",
833,India,31,Lakshadweep,2011,"Calendar Year (Jan - Dec), 2011",
834,India,31,Lakshadweep,2012,"Calendar Year (Jan - Dec), 2012",
835,India,31,Lakshadweep,2013,"Calendar Year (Jan - Dec), 2013",
836,India,31,Lakshadweep,2014,"Calendar Year (Jan - Dec), 2014",
837,India,31,Lakshadweep,2015,"Calendar Year (Jan - Dec), 2015",
838,India,31,Lakshadweep,2016,"Calendar Year (Jan - Dec), 2016",
839,India,31,Lakshadweep,2017,"Calendar Year (Jan - Dec), 2017",
840,India,31,Lakshadweep,2018,"Calendar Year (Jan - Dec), 2018",
841,India,31,Lakshadweep,2019,"Calendar Year (Jan - Dec), 2019",
842,India,32,Kerala,1991,"Calendar Year (Jan - Dec), 1991",74.4
843,India,32,Kerala,1992,"Calendar Year (Jan - Dec), 1992",67.2
844,India,32,Kerala,1993,"Calendar Year (Jan - Dec), 1993",58.5
845,India,32,Kerala,1994,"Calendar Year (Jan - Dec), 1994",65.4
846,India,32,Kerala,1995,"Calendar Year (Jan - Dec), 1995",66.8
847,India,32,Kerala,1996,"Calendar Year (Jan - Dec), 1996",61.7
848,India,32,Kerala,1997,"Calendar Year (Jan - Dec), 1997",71.6
849,India,32,Kerala,1998,"Calendar Year (Jan - Dec), 1998",60.1
850,India,32,Kerala,1999,"Calendar Year (Jan - Dec), 1999",71.2
851,India,32,Kerala,2000,"Calendar Year (Jan - Dec), 2000",59.4
852,India,32,Kerala,2001,"Calendar Year (Jan - Dec), 2001",59
853,India,32,Kerala,2002,"Calendar Year (Jan - Dec), 2002",67.7
854,India,32,Kerala,2003,"Calendar Year (Jan - Dec), 2003",64.2
855,India,32,Kerala,2004,"Calendar Year (Jan - Dec), 2004",56.7
856,India,32,Kerala,2005,"Calendar Year (Jan - Dec), 2005",57
857,India,32,Kerala,2006,"Calendar Year (Jan - Dec), 2006",70
858,India,32,Kerala,2007,"Calendar Year (Jan - Dec), 2007",75.4
859,India,32,Kerala,2008,"Calendar Year (Jan - Dec), 2008",94.5
860,India,32,Kerala,2009,"Calendar Year (Jan - Dec), 2009",95.9
861,India,32,Kerala,2010,"Calendar Year (Jan - Dec), 2010",106.2
862,India,32,Kerala,2011,"Calendar Year (Jan - Dec), 2011",113.2
863,India,32,Kerala,2012,"Calendar Year (Jan - Dec), 2012",106.9
864,India,32,Kerala,2013,"Calendar Year (Jan - Dec), 2013",62.5
865,India,32,Kerala,2014,"Calendar Year (Jan - Dec), 2014",40.6
866,India,32,Kerala,2015,"Calendar Year (Jan - Dec), 2015",43.8
867,India,32,Kerala,2016,"Calendar Year (Jan - Dec), 2016",35.1
868,India,32,Kerala,2017,"Calendar Year (Jan - Dec), 2017",47.6
869,India,32,Kerala,2018,"Calendar Year (Jan - Dec), 2018",37.6
870,India,32,Kerala,2019,"Calendar Year (Jan - Dec), 2019",36.5
871,India,33,Tamil Nadu,1991,"Calendar Year (Jan - Dec), 1991",123
872,India,33,Tamil Nadu,1992,"Calendar Year (Jan - Dec), 1992",120.6
873,India,33,Tamil Nadu,1993,"Calendar Year (Jan - Dec), 1993",111.9
874,India,33,Tamil Nadu,1994,"Calendar Year (Jan - Dec), 1994",123.8
875,India,33,Tamil Nadu,1995,"Calendar Year (Jan - Dec), 1995",105.5
876,India,33,Tamil Nadu,1996,"Calendar Year (Jan - Dec), 1996",110.5
877,India,33,Tamil Nadu,1997,"Calendar Year (Jan - Dec), 1997",150.4
878,India,33,Tamil Nadu,1998,"Calendar Year (Jan - Dec), 1998",147.3
879,India,33,Tamil Nadu,1999,"Calendar Year (Jan - Dec), 1999",160.4
880,India,33,Tamil Nadu,2000,"Calendar Year (Jan - Dec), 2000",145.3
881,India,33,Tamil Nadu,2001,"Calendar Year (Jan - Dec), 2001",143.9
882,India,33,Tamil Nadu,2002,"Calendar Year (Jan - Dec), 2002",117.3
883,India,33,Tamil Nadu,2003,"Calendar Year (Jan - Dec), 2003",114.5
884,India,33,Tamil Nadu,2004,"Calendar Year (Jan - Dec), 2004",159.1
885,India,33,Tamil Nadu,2005,"Calendar Year (Jan - Dec), 2005",183.7
886,India,33,Tamil Nadu,2006,"Calendar Year (Jan - Dec), 2006",186.5
887,India,33,Tamil Nadu,2007,"Calendar Year (Jan - Dec), 2007",185
888,India,33,Tamil Nadu,2008,"Calendar Year (Jan - Dec), 2008",217.6
889,India,33,Tamil Nadu,2009,"Calendar Year (Jan - Dec), 2009",205.8
890,India,33,Tamil Nadu,2010,"Calendar Year (Jan - Dec), 2010",220.6
891,India,33,Tamil Nadu,2011,"Calendar Year (Jan - Dec), 2011",214.8
892,India,33,Tamil Nadu,2012,"Calendar Year (Jan - Dec), 2012",184.2
893,India,33,Tamil Nadu,2013,"Calendar Year (Jan - Dec), 2013",143.1
894,India,33,Tamil Nadu,2014,"Calendar Year (Jan - Dec), 2014",163.7
895,India,33,Tamil Nadu,2015,"Calendar Year (Jan - Dec), 2015",175.2
896,India,33,Tamil Nadu,2016,"Calendar Year (Jan - Dec), 2016",161
897,India,33,Tamil Nadu,2017,"Calendar Year (Jan - Dec), 2017",149.5
898,India,33,Tamil Nadu,2018,"Calendar Year (Jan - Dec), 2018",192.4
899,India,33,Tamil Nadu,2019,"Calendar Year (Jan - Dec), 2019",161.8
900,India,34,Puducherry,1991,"Calendar Year (Jan - Dec), 1991",
901,India,34,Puducherry,1992,"Calendar Year (Jan - Dec), 1992",
902,India,34,Puducherry,1993,"Calendar Year (Jan - Dec), 1993",
903,India,34,Puducherry,1994,"Calendar Year (Jan - Dec), 1994",
904,India,34,Puducherry,1995,"Calendar Year (Jan - Dec), 1995",
905,India,34,Puducherry,1996,"Calendar Year (Jan - Dec), 1996",
906,India,34,Puducherry,1997,"Calendar Year (Jan - Dec), 1997",
907,India,34,Puducherry,1998,"Calendar Year (Jan - Dec), 1998",495.7
908,India,34,Puducherry,1999,"Calendar Year (Jan - Dec), 1999",530
909,India,34,Puducherry,2000,"Calendar Year (Jan - Dec), 2000",550.6
910,India,34,Puducherry,2001,"Calendar Year (Jan - Dec), 2001",608
911,India,34,Puducherry,2002,"Calendar Year (Jan - Dec), 2002",775.8
912,India,34,Puducherry,2003,"Calendar Year (Jan - Dec), 2003",1012.3
913,India,34,Puducherry,2004,"Calendar Year (Jan - Dec), 2004",1086.3
914,India,34,Puducherry,2005,"Calendar Year (Jan - Dec), 2005",1100.3
915,India,34,Puducherry,2006,"Calendar Year (Jan - Dec), 2006",1226.1
916,India,34,Puducherry,2007,"Calendar Year (Jan - Dec), 2007",1062
917,India,34,Puducherry,2008,"Calendar Year (Jan - Dec), 2008",798.3
918,India,34,Puducherry,2009,"Calendar Year (Jan - Dec), 2009",878.9
919,India,34,Puducherry,2010,"Calendar Year (Jan - Dec), 2010",918.1
920,India,34,Puducherry,2011,"Calendar Year (Jan - Dec), 2011",798.9
921,India,34,Puducherry,2012,"Calendar Year (Jan - Dec), 2012",607.3
922,India,34,Puducherry,2013,"Calendar Year (Jan - Dec), 2013",637.7
923,India,34,Puducherry,2014,"Calendar Year (Jan - Dec), 2014",284.7
924,India,34,Puducherry,2015,"Calendar Year (Jan - Dec), 2015",262.2
925,India,34,Puducherry,2016,"Calendar Year (Jan - Dec), 2016",289.2
926,India,34,Puducherry,2017,"Calendar Year (Jan - Dec), 2017",268.9
927,India,34,Puducherry,2018,"Calendar Year (Jan - Dec), 2018",227.9
928,India,34,Puducherry,2019,"Calendar Year (Jan - Dec), 2019",244.8
929,India,35,Andaman And Nicobar Islands,1991,"Calendar Year (Jan - Dec), 1991",
930,India,35,Andaman And Nicobar Islands,1992,"Calendar Year (Jan - Dec), 1992",
931,India,35,Andaman And Nicobar Islands,1993,"Calendar Year (Jan - Dec), 1993",
932,India,35,Andaman And Nicobar Islands,1994,"Calendar Year (Jan - Dec), 1994",
933,India,35,Andaman And Nicobar Islands,1995,"Calendar Year (Jan - Dec), 1995",
934,India,35,Andaman And Nicobar Islands,1996,"Calendar Year (Jan - Dec), 1996",
935,India,35,Andaman And Nicobar Islands,1997,"Calendar Year (Jan - Dec), 1997",
936,India,35,Andaman And Nicobar Islands,1998,"Calendar Year (Jan - Dec), 1998",9.6
937,India,35,Andaman And Nicobar Islands,1999,"Calendar Year (Jan - Dec), 1999",12.6
938,India,35,Andaman And Nicobar Islands,2000,"Calendar Year (Jan - Dec), 2000",9.1
939,India,35,Andaman And Nicobar Islands,2001,"Calendar Year (Jan - Dec), 2001",10.6
940,India,35,Andaman And Nicobar Islands,2002,"Calendar Year (Jan - Dec), 2002",16.3
941,India,35,Andaman And Nicobar Islands,2003,"Calendar Year (Jan - Dec), 2003",15.7
942,India,35,Andaman And Nicobar Islands,2004,"Calendar Year (Jan - Dec), 2004",10.9
943,India,35,Andaman And Nicobar Islands,2005,"Calendar Year (Jan - Dec), 2005",12.6
944,India,35,Andaman And Nicobar Islands,2006,"Calendar Year (Jan - Dec), 2006",13.3
945,India,35,Andaman And Nicobar Islands,2007,"Calendar Year (Jan - Dec), 2007",62.1
946,India,35,Andaman And Nicobar Islands,2008,"Calendar Year (Jan - Dec), 2008",42.9
947,India,35,Andaman And Nicobar Islands,2009,"Calendar Year (Jan - Dec), 2009",50.7
948,India,35,Andaman And Nicobar Islands,2010,"Calendar Year (Jan - Dec), 2010",53.5
949,India,35,Andaman And Nicobar Islands,2011,"Calendar Year (Jan - Dec), 2011",50.6
950,India,35,Andaman And Nicobar Islands,2012,"Calendar Year (Jan - Dec), 2012",40
951,India,35,Andaman And Nicobar Islands,2013,"Calendar Year (Jan - Dec), 2013",28.2
952,India,35,Andaman And Nicobar Islands,2014,"Calendar Year (Jan - Dec), 2014",29.1
953,India,35,Andaman And Nicobar Islands,2015,"Calendar Year (Jan - Dec), 2015",
954,India,35,Andaman And Nicobar Islands,2016,"Calendar Year (Jan - Dec), 2016",34.6
955,India,35,Andaman And Nicobar Islands,2017,"Calendar Year (Jan - Dec), 2017",20
956,India,35,Andaman And Nicobar Islands,2018,"Calendar Year (Jan - Dec), 2018",15.8
957,India,35,Andaman And Nicobar Islands,2019,"Calendar Year (Jan - Dec), 2019",0
958,India,36,Telangana,1991,"Calendar Year (Jan - Dec), 1991",119.4
959,India,36,Telangana,1992,"Calendar Year (Jan - Dec), 1992",114.8
960,India,36,Telangana,1993,"Calendar Year (Jan - Dec), 1993",117
961,India,36,Telangana,1994,"Calendar Year (Jan - Dec), 1994",128.9
962,India,36,Telangana,1995,"Calendar Year (Jan - Dec), 1995",138
963,India,36,Telangana,1996,"Calendar Year (Jan - Dec), 1996",139.4
964,India,36,Telangana,1997,"Calendar Year (Jan - Dec), 1997",129.9
965,India,36,Telangana,1998,"Calendar Year (Jan - Dec), 1998",149.7
966,India,36,Telangana,1999,"Calendar Year (Jan - Dec), 1999",174.6
967,India,36,Telangana,2000,"Calendar Year (Jan - Dec), 2000",159.6
968,India,36,Telangana,2001,"Calendar Year (Jan - Dec), 2001",150.1
969,India,36,Telangana,2002,"Calendar Year (Jan - Dec), 2002",123.5
970,India,36,Telangana,2003,"Calendar Year (Jan - Dec), 2003",145.3
971,India,36,Telangana,2004,"Calendar Year (Jan - Dec), 2004",158.6
972,India,36,Telangana,2005,"Calendar Year (Jan - Dec), 2005",203.6
973,India,36,Telangana,2006,"Calendar Year (Jan - Dec), 2006",185.9
974,India,36,Telangana,2007,"Calendar Year (Jan - Dec), 2007",196.6
975,India,36,Telangana,2008,"Calendar Year (Jan - Dec), 2008",226.3
976,India,36,Telangana,2009,"Calendar Year (Jan - Dec), 2009",225.6
977,India,36,Telangana,2010,"Calendar Year (Jan - Dec), 2010",278.4
978,India,36,Telangana,2011,"Calendar Year (Jan - Dec), 2011",242.9
979,India,36,Telangana,2012,"Calendar Year (Jan - Dec), 2012",199.7
980,India,36,Telangana,2013,"Calendar Year (Jan - Dec), 2013",213
981,India,36,Telangana,2014,"Calendar Year (Jan - Dec), 2014",231.4
982,India,36,Telangana,2015,"Calendar Year (Jan - Dec), 2015",268.9
983,India,36,Telangana,2016,"Calendar Year (Jan - Dec), 2016",252.6
984,India,36,Telangana,2017,"Calendar Year (Jan - Dec), 2017",253
985,India,36,Telangana,2018,"Calendar Year (Jan - Dec), 2018",241.5
986,India,36,Telangana,2019,"Calendar Year (Jan - Dec), 2019",206.5
987,India,37,Ladakh,1991,"Calendar Year (Jan - Dec), 1991",45.2
988,India,37,Ladakh,1992,"Calendar Year (Jan - Dec), 1992",41.7
989,India,37,Ladakh,1993,"Calendar Year (Jan - Dec), 1993",39.2
990,India,37,Ladakh,1994,"Calendar Year (Jan - Dec), 1994",43.1
991,India,37,Ladakh,1995,"Calendar Year (Jan - Dec), 1995",47.2
992,India,37,Ladakh,1996,"Calendar Year (Jan - Dec), 1996",40.1
993,India,37,Ladakh,1997,"Calendar Year (Jan - Dec), 1997",55.8
994,India,37,Ladakh,1998,"Calendar Year (Jan - Dec), 1998",65.8
995,India,37,Ladakh,1999,"Calendar Year (Jan - Dec), 1999",57.9
996,India,37,Ladakh,2000,"Calendar Year (Jan - Dec), 2000",60.1
997,India,37,Ladakh,2001,"Calendar Year (Jan - Dec), 2001",64.7
998,India,37,Ladakh,2002,"Calendar Year (Jan - Dec), 2002",58.1
999,India,37,Ladakh,2003,"Calendar Year (Jan - Dec), 2003",72
1000,India,37,Ladakh,2004,"Calendar Year (Jan - Dec), 2004",66.3
1001,India,37,Ladakh,2005,"Calendar Year (Jan - Dec), 2005",81.3
1002,India,37,Ladakh,2006,"Calendar Year (Jan - Dec), 2006",78.9
1003,India,37,Ladakh,2007,"Calendar Year (Jan - Dec), 2007",69
1004,India,37,Ladakh,2008,"Calendar Year (Jan - Dec), 2008",92.7
1005,India,37,Ladakh,2009,"Calendar Year (Jan - Dec), 2009",98.5
1006,India,37,Ladakh,2010,"Calendar Year (Jan - Dec), 2010",105.9
1007,India,37,Ladakh,2011,"Calendar Year (Jan - Dec), 2011",86.2
1008,India,37,Ladakh,2012,"Calendar Year (Jan - Dec), 2012",94.4
1009,India,37,Ladakh,2013,"Calendar Year (Jan - Dec), 2013",
1010,India,37,Ladakh,2014,"Calendar Year (Jan - Dec), 2014",
1011,India,37,Ladakh,2015,"Calendar Year (Jan - Dec), 2015",63.8
1012,India,37,Ladakh,2016,"Calendar Year (Jan - Dec), 2016",61.2
1013,India,37,Ladakh,2017,"Calendar Year (Jan - Dec), 2017",70.7
1014,India,37,Ladakh,2018,"Calendar Year (Jan - Dec), 2018",61.9
1015,India,37,Ladakh,2019,"Calendar Year (Jan - Dec), 2019",40.9
1016,India,38,The Dadra And Nagar Haveli And Daman And Diu,1991,"Calendar Year (Jan - Dec), 1991",
1017,India,38,The Dadra And Nagar Haveli And Daman And Diu,1992,"Calendar Year (Jan - Dec), 1992",
1018,India,38,The Dadra And Nagar Haveli And Daman And Diu,1993,"Calendar Year (Jan - Dec), 1993",
1019,India,38,The Dadra And Nagar Haveli And Daman And Diu,1994,"Calendar Year (Jan - Dec), 1994",
1020,India,38,The Dadra And Nagar Haveli And Daman And Diu,1995,"Calendar Year (Jan - Dec), 1995",
1021,India,38,The Dadra And Nagar Haveli And Daman And Diu,1996,"Calendar Year (Jan - Dec), 1996",
1022,India,38,The Dadra And Nagar Haveli And Daman And Diu,1997,"Calendar Year (Jan - Dec), 1997",
1023,India,38,The Dadra And Nagar Haveli And Daman And Diu,1998,"Calendar Year (Jan - Dec), 1998",58.80
1024,India,38,The Dadra And Nagar Haveli And Daman And Diu,1999,"Calendar Year (Jan - Dec), 1999",57.35
1025,India,38,The Dadra And Nagar Haveli And Daman And Diu,2000,"Calendar Year (Jan - Dec), 2000",43.10
1026,India,38,The Dadra And Nagar Haveli And Daman And Diu,2001,"Calendar Year (Jan - Dec), 2001",31.25
1027,India,38,The Dadra And Nagar Haveli And Daman And Diu,2002,"Calendar Year (Jan - Dec), 2002",22.15
1028,India,38,The Dadra And Nagar Haveli And Daman And Diu,2003,"Calendar Year (Jan - Dec), 2003",17.85
1029,India,38,The Dadra And Nagar Haveli And Daman And Diu,2004,"Calendar Year (Jan - Dec), 2004",22.30
1030,India,38,The Dadra And Nagar Haveli And Daman And Diu,2005,"Calendar Year (Jan - Dec), 2005",22.0
1031,India,38,The Dadra And Nagar Haveli And Daman And Diu,2006,"Calendar Year (Jan - Dec), 2006",103.95
1032,India,38,The Dadra And Nagar Haveli And Daman And Diu,2007,"Calendar Year (Jan - Dec), 2007",136.40
1033,India,38,The Dadra And Nagar Haveli And Daman And Diu,2008,"Calendar Year (Jan - Dec), 2008",117.85
1034,India,38,The Dadra And Nagar Haveli And Daman And Diu,2009,"Calendar Year (Jan - Dec), 2009",137.40
1035,India,38,The Dadra And Nagar Haveli And Daman And Diu,2010,"Calendar Year (Jan - Dec), 2010",102.90
1036,India,38,The Dadra And Nagar Haveli And Daman And Diu,2011,"Calendar Year (Jan - Dec), 2011",34.60
1037,India,38,The Dadra And Nagar Haveli And Daman And Diu,2012,"Calendar Year (Jan - Dec), 2012",48.35
1038,India,38,The Dadra And Nagar Haveli And Daman And Diu,2013,"Calendar Year (Jan - Dec), 2013",41.90
1039,India,38,The Dadra And Nagar Haveli And Daman And Diu,2014,"Calendar Year (Jan - Dec), 2014",33.95
1040,India,38,The Dadra And Nagar Haveli And Daman And Diu,2015,"Calendar Year (Jan - Dec), 2015",48.60
1041,India,38,The Dadra And Nagar Haveli And Daman And Diu,2016,"Calendar Year (Jan - Dec), 2016",57.15
1042,India,38,The Dadra And Nagar Haveli And Daman And Diu,2017,"Calendar Year (Jan - Dec), 2017",33.80
1043,India,38,The Dadra And Nagar Haveli And Daman And Diu,2018,"Calendar Year (Jan - Dec), 2018",26.25
1044,India,38,The Dadra And Nagar Haveli And Daman And Diu,2019,"Calendar Year (Jan - Dec), 2019",0.0
